class,sc,omc_sc,cov_gap
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/SkipDateTimeField.html>org.joda.time.field.SkipDateTimeField</a>,81.818184,27.272728,54.545456
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/LimitChronology.html>org.joda.time.chrono.LimitChronology</a>,62.995594,38.325993,24.669601
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/tz/UTCProvider.html>org.joda.time.tz.UTCProvider</a>,100.0,80.0,20.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/InternalPrinterDateTimePrinter.html>org.joda.time.format.InternalPrinterDateTimePrinter</a>,65.21739,26.086956,39.130436
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/AbstractPeriod.html>org.joda.time.base.AbstractPeriod</a>,100.0,94.871796,5.1282043
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/GJDayOfWeekDateTimeField.html>org.joda.time.chrono.GJDayOfWeekDateTimeField</a>,91.66667,41.666664,50.000008
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/BaseSingleFieldPeriod.html>org.joda.time.base.BaseSingleFieldPeriod</a>,98.50746,68.656715,29.850746
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/NullConverter.html>org.joda.time.convert.NullConverter</a>,100.0,71.42857,28.571426
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/IllegalInstantException.html>org.joda.time.IllegalInstantException</a>,90.0,70.0,20.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/IllegalFieldValueException.html>org.joda.time.IllegalFieldValueException</a>,96.26168,61.682243,34.579437
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/tz/ZoneInfoCompiler.html>org.joda.time.tz.ZoneInfoCompiler</a>,89.047615,12.142858,76.904755
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/GregorianChronology.html>org.joda.time.chrono.GregorianChronology</a>,98.11321,69.81132,28.301895
